tic id,toi,tfopwg disposition,period (days),epoch (bjd),duration (hours),sectors
334798754,7256.01,PC,8.5748036,2460651.068411,11.208,"15,16,17,19,20,22,23,24,25,26,40,47,49,50,51,52,53,54,55,56,57,58,59,60,73,74,76,77,78,79,80,81,82"
417931300,2068.01,CP,7.769088748267731,2458683.416826,2.6251446616721834,"14,15,21,22,41,48,75"
193023697,6266.01,PC,2.7895524,2460013.265158,1.969,"9,36,62"
468433454,5593.01,PC,4.7974601,2459599.997854,5.952,47
149450435,6644.01,PC,42.7305626,2460150.015347,5.591,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65"
376637093,1516.01,CP,2.0560153,2460449.201388,2.773,"17,18,24,25,57,58,77,78"
321802774,3206.01,PC,1.9405161,2459357.915255,3.344,"11,38"
5224772,2940.01,PC,4.5991516,2459301.079391,3.113,"8,9,35,36"
430099722,5336.01,PC,4.0153167,2459520.536355,3.825,44
183537452,192.01,KP,3.922711331243955,2460929.713786,2.6326626155608337,"2,29,69,96"
146406806,594.01,PC,13.9492616855279,2459237.954551,4.58053451599749,"7,8,34,35,61"
469702377,6188.01,PC,4.7061119,2459873.021669,3.03,"16,17,56,57"
299799658,1062.01,CP,4.1150576,2460177.200429,1.08,"1,13,27,28,66,67,68"
322504451,5243.01,PC,1.6087939,2459825.686941,1.966,"15,16,41,56"
397653875,7228.01,PC,2.9324083,2460528.227293,2.758,"54,80,81"
299780329,1869.01,PC,1.60243874712251,2459362.742783,1.00900137662734,"1,13,28,39"
239542854,6164.01,PC,3.6948038,2459850.906915,1.203,56
154762431,5951.01,PC,3.1728284,2459852.571596,1.777,"16,56"
115242351,297.01,PC,5.67483267319457,2459093.605469,1.783,"2,29,69"
449107129,5006.01,PC,4.254955,2459386.202615,4.228,"11,12,38,39"
446463666,4883.01,PC,4.4967355,2459328.308088,4.218,"9,10,36,37"
95234976,3820.01,PC,5.42907806809428,2459503.092356,3.10185056618397,"20,44,45,46,47,71,72"
58723861,5120.01,PC,24.9163182,2460267.926815,6.745,"44,45,71,72"
184801054,6465.01,PC,0.6593681,2460013.850462,0.395,"35,61,62"
429123881,7628.01,PC,4.039133142421085,2460655.445179,4.218958180930204,"19,59,86"
166086403,5387.01,PC,2.8037514,2459660.851073,2.771,"15,16,21,22,23,41,48,49"
332365162,5753.01,PC,7.4242482,2459742.005654,2.873,"25,51,52"
150320610,6725.01,PC,2.1476974,2460193.054335,1.669,"2,3,5,6,7,8,9,10,12,13,27,28,29,30,32,33,35,36,37,38,39,61,62,63,64,65,66,67,68"
391958006,5796.01,KP,1.74301433466147,2459771.551589,2.28721008515822,54
451606970,1214.01,PC,19.1807263962111,2458634.552482,3.9621083664021,"12,13,27,39,66,67"
431033767,7158.01,PC,3.338577,2460423.52283,3.519,"16,17,56,57,76,77"
297950791,5045.01,PC,3.4792084,2459386.865879,3.545,"12,39"
366315051,6608.01,PC,7.3144752,2460093.589256,1.481,"11,38,65"
270048796,6935.01,PC,1.763034,2460285.453378,1.849,"71,72"
115739057,6129.01,PC,5.0310168,2459847.900848,3.334,"16,56"
129890791,4965.01,PC,7.0857491,2459355.756466,5.047,"1,2,3,4,5,6,7,8,9,10,11,38"
262016897,7489.01,PC,15.145874607090873,2460811.793804,3.8705031640893313,92
260004324,704.01,CP,3.81430089729514,2458327.416979,1.3793952094512,"1,2,3,4,5,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,64,65,66,67,68,69"
321668398,1862.01,CP,5.64421124174708,2459768.446771,2.98099602274391,"14,17,20,21,24,25,26,40,41,47,50,51,52,53,54,57,58,60"
142171554,6540.01,PC,4.5127799,2460035.449501,3.11,"10,37,63"
147193084,6525.01,PC,731.3548427,2460018.452985,3.429,"9,10,36,63"
14570099,5558.01,KP,26.1944548547795,2459521.873206,3.83540882598051,"44,45,46,71,72"
383313006,6758.01,PC,12.6136992,2460099.197812,2.533,"13,38,65,66"
100566492,2198.01,KP,4.9549631089896,2459040.905327,5.95651744682186,27
11521555,2401.01,PC,5.8681984,2460012.073961,3.651,"8,9,35,62"
331160996,3197.01,PC,2.1972485,2458623.463783,2.348,11
343019899,1386.01,CP,25.8386422,2460561.017924,5.209,"16,17,56,57,76,77,83,84"
366576758,514.01,KP,11.3909685289739,2458495.842899,3.80624669929062,"7,44,45,46,72"
280035202,4094.01,PC,4.91117863279156,2459715.956315,2.64592442154746,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,53,54,55,56,57,58,59,60"
142628514,4218.01,PC,2.6269521,2458514.633837,3.503,7
294981566,1219.01,PC,1.9142544,2460121.561055,3.256,"1,3,4,5,6,7,8,9,10,11,13,27,28,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66"
63735024,7606.01,PC,4.887058474446538,2460710.535729,4.7641319550831565,"7,33,34,87,88"
243185500,1468.02,CP,1.88053101731743,2459448.308156,1.19116842909093,"17,42,43"
281837575,5143.01,PC,5.20970995776126,2459527.24297,1.69756784470972,"45,46,72"
372178596,6146.01,PC,4.5803096,2459851.168508,4.962,"15,16,56"
77550515,4834.01,PC,3.118166,2459275.262066,2.285,"8,35"
345193111,5925.01,PC,6.1606297,2459814.45684,2.218,55
147203645,166.01,PC,5.06113147515493,2459065.316593,1.55624141946912,"1,28,68"
436764867,5958.01,PC,2.30621252937405,2459825.785407,1.50989769358905,56
33692729,469.01,CP,13.6308024056266,2458474.569581,4.34265642388421,"6,33"
238197638,903.01,PC,7.2766004,2460044.048378,4.626,"2,3,5,6,9,10,12,13,27,28,29,30,32,33,36,37,61,63,64"
247356332,5213.01,PC,4.5333993,2459445.58846,1.083,"14,15,41"
219778329,2091.01,PC,177.21888710776,2458742.87474,5.55906448783259,"14,15,16,17,18,19,20,21,22,23,25,26,40,41"
176797879,4353.01,PC,718.180931703518,2458427.019739,2.92331513745715,"4,31"
468979441,5493.03,PC,14.5643289257534,2459238.318898,4.60390574999855,"34,44,45,46,61,72"
150761163,4124.01,PC,3.4138019,2459762.989003,2.877,"26,40,53"
351864831,6183.01,PC,8.7311119,2459840.156934,4.4,"14,15,16,41,55,56"
171922657,6391.01,PC,5.01345,2459958.667743,3.437,"20,44,45,60"
219809549,7026.01,PC,65.5580424,2460314.948852,4.167,"14,15,16,18,19,20,21,22,23,25,40,41,48,49,50,52,53,55,59,60,73,74,75"
443616612,5523.02,KP,3.47128026239719,2459281.403586,2.43820152242157,"36,45,46,63,72"
366302410,6986.01,PC,1.2117417,2460310.606085,1.046,"43,44,59,73"
301900477,5003.01,PC,4.4540914,2459388.445535,1.16,"12,39"
168158622,4871.01,PC,1.7687528,2459988.602324,1.471,"9,35,36,62"
229465678,3096.01,PC,4.4282303,2459325.615815,2.577,"10,37"
184733148,3645.01,PC,2.959842,2459907.47233,2.53,"18,58"
266500992,1655.01,PC,3.2786617,2460662.313228,2.631,"19,59,86"
456335739,5567.01,PC,13.62636,2459585.367829,3.245,"21,47"
42110638,7294.01,PC,1.6047466,2460559.167573,2.097,"14,15,41,54,55,75,81,82"
432761635,3622.01,PC,3.2131823,2459879.077421,3.325,"17,57"
417829948,7459.01,PC,8.951179669554072,2458846.872354,3.079477324392765,"20,47,74"
176279915,5289.01,PC,3.4411264,2459469.615289,2.669,"29,42"
131034657,4842.01,PC,5.3374045,2459271.888906,1.849,"7,8,34,35"
435740442,5237.01,PC,2.9889845,2459444.873065,1.858,41
65905621,4796.01,PC,3.5775958,2459250.341527,2.779,"7,33,34"
289047954,7252.01,PC,1.4207284,2460557.285603,1.988,"14,54,55,81,82"
466840711,839.01,KP,2.48558063537043,2458571.551642,3.00163621343277,"10,11,37"
272211398,4909.01,PC,11.6484665224403,2459316.775014,5.8782939372478,"10,37,64"
403224672,141.01,CP,1.0082361,2460178.671412,1.41,"1,27,28,68"
9348006,1775.01,CP,10.2405483,2459635.364326,3.538,"21,48"
219508169,2016.03,PC,25.3369848,2459735.445738,3.214,"24,25,51,52"
78055054,434.01,KP,4.388851647462,2459198.519993,3.01840154570759,"5,6,32"
268125229,2903.01,PC,3.5947639,2459964.220375,1.81,"7,8,9,34,35,36,61"
316138059,7521.01,PC,0.8618404292378066,2460662.618974,1.029583614625798,"18,19,59,86"
229508727,4060.01,PC,23.1315739,2459755.068432,2.293,"14,15,17,18,19,20,21,22,23,24,25,40,41,47,48,49,50,51,52,53,54,55"
357501308,2018.01,CP,7.43557089552366,2458958.257962,2.34503210226433,"24,51"
343330330,3943.01,PC,5.5613023,2459850.550846,5.64,"15,16,17,24,55,56"
142618165,3853.01,PC,5.6922342,2459633.20849,2.975,"14,20,21,40,41,47,48,60"
122785299,4592.01,KP,8.88495108586945,2459392.140389,1.99585070202848,"40,41,54"
198588220,2014.01,KP,4.8099755,2460497.317355,6.696,"24,26,51,52,53,78,79,80"
350293646,2548.02,CP,1.4468993,2459985.331564,0.779,"34,61"
22233480,4438.01,CP,7.44630337680409,2459396.409578,2.00331377616967,"40,52,53"
241040309,1559.01,PC,3.4648951,2459904.889359,1.046,"17,18,58"
27863043,5953.01,PC,7.4924561,2460581.473006,6.072,"56,83"
334632624,4361.01,PC,741.4238314285519,2458520.648063,5.238945397465328,"8,35,62"
243244680,5065.01,KP,19.4921473,2459575.851873,3.568,"44,45,46,72"
80224448,6965.01,PC,5.96933974788986,2459505.193695,3.441037976088,"44,45,71,72"
17993892,1800.01,KP,4.1244833,2459632.338336,3.567,"22,48"
336255880,6091.01,PC,5.18555066268537,2459392.109891,1.97341329504368,"40,53,54"
141933255,6432.01,PC,3.356169,2459984.307515,1.434,"7,34,61"
93862917,6460.01,PC,4.4044418,2459984.409752,2.581,"7,34,61"
314088020,6214.01,PC,7.0346299,2459868.609542,2.565,"15,16,17,56,57"
388106759,810.01,PC,28.3057041912443,2458332.251515,4.82650363393014,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,63,64,65,66,67,68,69"
436873727,4641.01,CP,22.0933921788079,2460239.908686,5.40950761573261,"18,42,43,44,58,70,71"
228381868,351.01,KP,3.46549525168069,2459091.364241,4.16125584917831,"29,69"
199488690,7096.01,PC,3.3505745,2460565.044613,4.633,"56,57,76,77"
234825296,536.01,KP,9.24323029360052,2458473.382195,2.40458722408885,"6,33"
285592400,7425.01,PC,1.2815706,2460633.587611,2.23,"18,24,25,58,85"
437259571,2973.01,PC,2.7519326,2458563.638612,2.411,9
270716565,4728.01,PC,6.0879495,2459223.951267,1.639,"6,33"
237406657,2791.01,PC,3.7482756,2458515.618118,4.989,"6,7"
101133275,6332.01,PC,1.6630135,2459906.799332,3.133,"18,58"
426144112,5751.01,PC,1.7465205,2459742.829034,1.453,"18,19,24,25,52"
112110888,4770.01,PC,1.9491813,2459963.442749,3.119,"7,34,61"
456306892,5581.01,PC,33.53868911943386,2459390.959117,3.943914894430207,"20,26,40,47,53,73,74"
311116297,5660.01,PC,4.8183501,2459710.421834,1.816,"50,51"
452808876,453.01,KP,2.70582,2458438.96587,4.968,5
90669930,5341.01,PC,20.6875239,2459513.930501,2.57,"18,43,44"
170440216,7278.01,PC,7.6316525,2460552.718219,3.452,"14,15,41,54,55,74,75,81,82"
352442207,6122.01,PC,4.6107024,2459847.211624,5.626,"15,16,41,54,55,56"
